news,news_category,views,poster,time,month,year,news_link
"Breaking; Radio Biafra Director, Nnamdi Kanu Arrested",Politics," / , / ,  / , (121052 Views) ",Ejimike,7:36pm,Oct 17,2015,https://www.nairaland.com/2672212/breaking-radio-biafra-director-nnamdi
EFCC Confronts Akpabio With Evidence Of Transactions,Politics," / , / ,  / , (36804 Views) ",sheedy407,6:16am,Oct 18,2015,https://www.nairaland.com/2672774/efcc-confronts-akpabio-evidence-transactions
Man Poisons Pregnant Girlfriend In Imo State (Pictured),Crime," / , / ,  / , (43299 Views) ",dre11,6:49am,Oct 18,2015,https://www.nairaland.com/2672809/man-poisons-pregnant-girlfriend-imo
See What Crazy Davido's Fans Did To Him (photo),Celebrities," / , / ,  / , (53407 Views) ",dealeh,9:11pm,Oct 17,2015,https://www.nairaland.com/2672342/see-what-crazy-davidos-fans
"Ambode, Oshiomhole At David Lawal's Thanskgiving Service In Abuja (Pics)",Politics," / , / ,  / , (33282 Views) ",dainformant,8:31pm,Oct 17,2015,https://www.nairaland.com/2672288/ambode-oshiomhole-david-lawals-thanskgiving
Mercy Johnson Made Global Ambassador For Miss Nigeria Ireland Pageant(photos),Celebrities," / , / ,  / , (26449 Views) ",obiremy,1:32pm,Oct 17,2015,https://www.nairaland.com/2671672/mercy-johnson-made-global-ambassador
The Evil Called Pornography,Religion," / , / ,  / , (64379 Views) ",martphreak,11:18pm,Oct 17,2015,https://www.nairaland.com/2672527/evil-called-pornography
How I And Friends  Celebrated World Food Day!,Food," / , / ,  / , (33925 Views) ",Eghosa1,3:06pm,Oct 17,2015,https://www.nairaland.com/2671812/how-friends-celebrated-world-food
"  How A Girl""s Visit  to My Room Changed my Life  ( Short Story) ",Literature," / , / ,  / , (238694 Views) ",ClassCaptain,7:17pm,Oct 14,2015,https://www.nairaland.com/2665664/how-girl-visit-room-changed
5 Reasons God Doesn’t Answer Your Prayers,Religion," / , / ,  / , (33506 Views) ",AWONEYAN,7:25am,Oct 18,2015,https://www.nairaland.com/2672840/5-reasons-god-doesnt-answer
Could She Be The Most Beautiful Nigerian Actress?,Celebrities," / , / ,  / , (62316 Views) ",farano,6:49pm,Oct 16,2015,https://www.nairaland.com/2670258/could-she-most-beautiful-nigerian
Photos: See the people that travelled all the way from Chile to worship Fela,Celebrities," / , / ,  / , (49619 Views) ",Towncrier247,7:16pm,Oct 16,2015,https://www.nairaland.com/2670298/photos-see-people-travelled-all
Orji Uzo-Kalu Becomes President Of World Ship Owners Association (WSA),Politics," / , / ,  / , (47962 Views) ",investnow2013,9:14pm,Oct 16,2015,https://www.nairaland.com/2670499/orji-uzo-kalu-becomes-president-world
"Afenifere Asks South West Govs, Obas To De-recognise Eze Ndi Igbos In Yorubaland",Politics," / , / ,  / , (58076 Views) ",Trut,10:43pm,Oct 16,2015,https://www.nairaland.com/2670633/afenifere-asks-south-west-govs
15 Businesses You Can Start On Campus That You Don't Know About,Business," / , / ,  / , (34862 Views) ",ultrazone,5:28am,Oct 17,2015,https://www.nairaland.com/2670873/15-businesses-start-campus-dont
Ministerial Screening:  Amaechi Fights Back,Politics," / , / ,  / , (39756 Views) ",klassic,3:59am,Oct 17,2015,https://www.nairaland.com/2670838/ministerial-screening-amaechi-fights-back
Fayose Arrests Road Safety Official For Traffic Offence,Politics," / , / ,  / , (22485 Views) ",erunz,4:41am,Oct 17,2015,https://www.nairaland.com/2670849/fayose-arrests-road-safety-official
10 Celebs That Love To Display The Size Of Their Eggplants In Public (PICS),Celebrities," / , / ,  / , (58580 Views) ",Towncrier247,7:54pm,Oct 14,2015,https://www.nairaland.com/2665726/10-celebs-love-display-size
Six Men Gang-rape 18-year-old At Gunpoint In Lagos,Crime," / , / ,  / , (38398 Views) ",dre11,6:58am,Oct 17,2015,https://www.nairaland.com/2670949/six-men-gang-rape-18-year-old-gunpoint
Confusion As Disabled Man Scales Fence Into Warri Police Station,Crime," / , / ,  / , (17736 Views) ",FREEEMANAN,12:01am,Oct 17,2015,https://www.nairaland.com/2670733/confusion-disabled-man-scales-fence
Ministers To Lose Perks Of Office,Politics," / , / ,  / , (22222 Views) ",ijustdey,7:23am,Oct 17,2015,https://www.nairaland.com/2670997/ministers-lose-perks-office
PHOTO: Man Gets Electrocuted While Trying To Steal From A Shop In Rivers,Crime," / , / ,  / , (32897 Views) ",olokfor,8:02am,Oct 17,2015,https://www.nairaland.com/2671076/photo-man-gets-electrocuted-while
Godswill Akpabio Returns Home After His Invitation By The EFCC,Politics," / , / ,  / , (22861 Views) ",Harbdulrasaq,8:07am,Oct 17,2015,https://www.nairaland.com/2671084/godswill-akpabio-returns-home-after
Mercy Johnson's Family Sleeping Inside A Flight,Celebrities," / , / ,  / , (58556 Views) ",msmith247,8:57pm,Oct 16,2015,https://www.nairaland.com/2670472/mercy-johnsons-family-sleeping-inside
BEDC Staff Electrocuted While Doing His Job In Benin City (photos),Career," / , / ,  / , (30828 Views) ",Zikkyfuse,9:18am,Oct 17,2015,https://www.nairaland.com/2671207/bedc-staff-electrocuted-while-doing
Buhari's Al Jazeera Interview With Mehdi Hassan (VIDEO),Politics," / , / ,  / , (37220 Views) ",biafranqueen,1:47am,Oct 17,2015,https://www.nairaland.com/2670800/buharis-al-jazeera-interview-mehdi
See What They Did To These Two Boys In A Nigerian Universty (Graphic Pics),Crime," / , / ,  / , (56846 Views) ",Towncrier247,9:51am,Oct 17,2015,https://www.nairaland.com/2671268/see-what-did-these-two
How Rotimi Amaechi Convinced Buhari To Wear A Suit During The Campaign Era,Politics," / , / ,  / , (55270 Views) ",AmicableEd,8:21am,Oct 17,2015,https://www.nairaland.com/2671116/how-rotimi-amaechi-convinced-buhari
Senators Not Divided Over Amaechi – Anyanwu,Politics," / , / ,  / , (14560 Views) ",Naijacitizen,6:45am,Oct 17,2015,https://www.nairaland.com/2670934/senators-not-divided-over-amaechi
