news,news_category,views,poster,time,date,news_link
Photo Of N3m Louis Vuitton Button Shirt Sparks Mixed Reactions On Social Media,Fashion," / , / ,  / , (68884 Views) ",phoneport,7:56am,Nov 03,https://www.nairaland.com/7414637/photo-n3m-louis-vuitton-button
Salaries: Gombe ASUU Vows To Withhold Students' Results,Education," / , / ,  / , (6436 Views) ",chokekachy,9:10am,,https://www.nairaland.com/7416352/salaries-gombe-asuu-vows-withhold
'Players Are Dropping Like Flies’ - EPL Told To Cancel Games Ahead Of Qatar,Sports," / , / ,  / , (41927 Views) ",Creatorchris,10:24am,Nov 03,https://www.nairaland.com/7414856/players-dropping-like-flies-epl
Why Lagos Commercial Drivers Are On Strike,Travel," / , / ,  / , (33674 Views) ",nlfpmod,3:12pm,Nov 03,https://www.nairaland.com/7415365/why-lagos-commercial-drivers-strike
Nigerian Man And His Lover Arrested In Philippine For Romance Scam,Crime," / , / ,  / , (28350 Views) ",LILTJAY,4:17pm,Nov 03,https://www.nairaland.com/7415459/nigerian-man-lover-arrested-philippine
I Have A Calling To Be A Minister Of God - Yul Edochie (video),Celebrities," / , / ,  / , (19607 Views) ",nlfpmod,3:30pm,Nov 03,https://www.nairaland.com/7415393/calling-minister-god-yul-edochie
Fasoranti: I Never Said Adebanjo Is No Longer Afenifere Leader,Politics," / , / ,  / , (17598 Views) ",Built2last,3:05pm,Nov 03,https://www.nairaland.com/7415359/fasoranti-never-said-adebanjo-no
We’ll Work For PDP In Oyo — Akinjide Group Disowns Makinde’s Support Of Tinubu,Politics," / , / ,  / , (9106 Views) ",AnonPoet,2:56pm,Nov 03,https://www.nairaland.com/7415340/well-work-pdp-oyo-akinjide
Atiku Tackles Tinubu For Not Helping APC Avert Economic Crisis,Politics," / , / ,  / , (15257 Views) ",Islie,2:35pm,Nov 03,https://www.nairaland.com/7415296/atiku-tackles-tinubu-not-helping
"See How I Make Yummy Bread Pizza At Home, Better Than Take Out (Photos, Video)",Food," / , / ,  / , (25523 Views) ",gloryhomemaker,11:18am,Oct 28,https://www.nairaland.com/7405561/see-how-make-yummy-bread
Foreign Affairs,Politics," / , / , / ,  / , (33212 Views) ",Teaser4,2:33pm,Nov 03,https://www.nairaland.com/foreign-affairs
Governor Yahaya Bello And The Fight Against Political Insecurity,Politics," / , / ,  / , (8145 Views) ",jamesjovita2022,12:44pm,Nov 03,https://www.nairaland.com/7415101/governor-yahaya-bello-fight-against
Ugandan Man Arrested For Disguising As A Woman & Stealing From Unsuspecting Men,Crime," / , / ,  / , (14747 Views) ",Fira09,2:51pm,Nov 03,https://www.nairaland.com/7415326/ugandan-man-arrested-disguising-woman
2023 Presidential Election: Tinubu/Shettima Campaign Schedule,Politics," / , / ,  / , (12947 Views) ",naptu2,9:02am,Nov 03,https://www.nairaland.com/7414724/2023-presidential-election-tinubu-shettima
"Armed Men Exchange Fire With Security Forces In Anambra (Video, Pics)",Politics," / , / ,  / , (42251 Views) ",AfricanColumbus,1:59pm,Nov 02,https://www.nairaland.com/7413670/armed-men-exchange-fire-security
"Maradona's ""Hand Of God"" Ball Set To Be Auctioned For N1.5 Billion",Sports," / , / ,  / , (53537 Views) ",ogbiwa,9:37pm,Oct 17,https://www.nairaland.com/7388409/maradonas-hand-god-ball-set
"Oshiomhole: Tinubu Is The Only Candidate That Has ""Addressed"" His Plan Of Action",Politics," / , / ,  / , (11437 Views) ",fergie001,3:45pm,Nov 02,https://www.nairaland.com/7413868/oshiomhole-tinubu-only-candidate-addressed
Fayose In Court Over Unpaid ₦‎900 Million Legal Fees,Politics," / , / ,  / , (19307 Views) ",ISTP,3:19am,Nov 02,https://www.nairaland.com/7412913/fayose-court-over-unpaid-900
Nigerian Romance Scammer Arrested In India For Duping Indian Woman Of N9.5m,Crime," / , / ,  / , (28440 Views) ",LILTJAY,12:50am,Nov 02,https://www.nairaland.com/7412833/nigerian-romance-scammer-arrested-india
Man Killed 68-yr-old Father To Befriend His Daughter,Crime," / , / ,  / , (26882 Views) ",dre11,12:29pm,Nov 01,https://www.nairaland.com/7411874/man-killed-68-yr-old-father-befriend
"23-year-old Mechanic Disappears, Family Seeks Help",Family," / , / ,  / , (16589 Views) ",ISTP,3:38am,Nov 02,https://www.nairaland.com/7412919/23-year-old-mechanic-disappears-family-seeks
Movie Review: Becoming Abi ; A Workplace Drama Series,TV/Movies," / , / ,  / , (13940 Views) ",Mthumbie,4:29pm,Oct 31,https://www.nairaland.com/7410544/movie-review-becoming-abi-workplace
"Sack Farming In Limited Yard Space... (yam, Palm, Vegetables)",Agriculture," / , / ,  / , (27409 Views) ",Ireportlive,7:10am,Nov 02,https://www.nairaland.com/7413010/sack-farming-limited-yard-space
Is Oshodi The Most Popular Place In Lagos?,Travel," / , / ,  / , (45458 Views) ",Tunjibalogun,8:10am,Nov 02,https://www.nairaland.com/7413093/oshodi-most-popular-place-lagos
"Kashim Shettima, Ganduje, Sanwo-Olu & Others At Alaba Rago Today ",Politics," / , / ,  / , (33068 Views) ",naptu2,12:46pm,Nov 02,https://www.nairaland.com/7413547/kashim-shettima-ganduje-sanwo-olu-others
"Court Nullifies APC Nasarawa West Senatorial Primary, orders fresh Primary",Politics," / , / ,  / , (5898 Views) ",politicoNG,5:25pm,Nov 02,https://www.nairaland.com/7413998/court-nullifies-apc-nasarawa-west
"Court Cancels Kaduna Central PDP Primary, Orders Fresh Primary",Politics," / , / ,  / , (6006 Views) ",politicoNG,5:06pm,Nov 02,https://www.nairaland.com/7413967/court-cancels-kaduna-central-pdp
Is This Why Ooni Of Ife Is Marrying Several Wives?,Culture," / , / ,  / , (72748 Views) ",Elemosho478,3:39pm,Nov 02,https://www.nairaland.com/7413853/why-ooni-ife-marrying-several
How Pastor Slept With My Mother With Promise Of Automatic Ticket To Heaven,Religion," / , / ,  / , (49425 Views) ",HarlequinLekex,10:36am,Nov 02,https://www.nairaland.com/7413326/how-pastor-slept-mother-promise
13 Boko Haram Members Arrested In Niger Over Attempt To Attack Military Base,Politics," / , / ,  / , (18792 Views) ",Islie,8:25am,Nov 02,https://www.nairaland.com/7413113/13-boko-haram-members-arrested
"2023: Oyo LP Deputy Chairman, Other Party Members Defect To PDP",Politics," / , / ,  / , (14238 Views) ",lhordspy,10:45am,Nov 02,https://www.nairaland.com/7413351/2023-oyo-lp-deputy-chairman
Atiku To Tinubu: Nigerians Won’t Elect A Ghost President,Politics," / , / ,  / , (22218 Views) ",rescuenaija,5:46pm,Nov 02,https://www.nairaland.com/7414023/atiku-tinubu-nigerians-wont-elect
"Doguwa Goes Berserk Again, Assaults Another Party Leader, Threatens Ex-SSG",Politics," / , / ,  / , (21953 Views) ",dre11,12:28pm,Nov 02,https://www.nairaland.com/7413523/doguwa-goes-berserk-again-assaults
Victor Osimhen Rated Fourth Best Striker In Europe,Sports," / , / ,  / , (31055 Views) ",Fira09,3:04pm,Nov 02,https://www.nairaland.com/7413796/victor-osimhen-rated-fourth-best
Don't Bother Building A Family Swimming Pool If It Is Not Like This (PICS),Properties," / , / ,  / , (87072 Views) ",maureensylvia,4:05pm,Nov 01,https://www.nairaland.com/7412233/dont-bother-building-family-swimming
Ladies And Photo Filters Addiction.,Phones," / , / ,  / , (29684 Views) ",Toks2008,9:46pm,Aug 15,https://www.nairaland.com/7283216/ladies-photo-filters-addiction
Police Officer Accuses Her Superior Of Assaulting Her For Refusing His Advances,Crime," / , / ,  / , (40523 Views) ",ExAngel007,11:47am,Nov 02,https://www.nairaland.com/7413453/police-officer-accuses-superior-assaulting
Nanny And Cook Detained As Police Release 6 Of Davido's Domestic Staff,Celebrities," / , / ,  / , (49640 Views) ",TheGistDay,8:36am,Nov 02,https://www.nairaland.com/7413138/nanny-cook-detained-police-release
Shettima: We Will End Insurgency In Six Months,Politics," / , / ,  / , (21653 Views) ",ogododo,5:26pm,Nov 01,https://www.nairaland.com/7412350/shettima-end-insurgency-six-months
"Like Tinubu Lagos, I Will Continue The Work Of Wike - River PDP Gov. Candidate",Politics," / , / ,  / , (23268 Views) ",trutharena,4:50pm,Nov 01,https://www.nairaland.com/7412296/like-tinubu-lagos-continue-work
Tinubu Consoles Davido Over Son’s Death,Politics," / , / ,  / , (38832 Views) ",maupe,4:00pm,Nov 01,https://www.nairaland.com/7412229/tinubu-consoles-davido-over-sons
Tyson Fury Banned From Entering The US,Sports," / , / ,  / , (46139 Views) ",Fira09,10:48am,Nov 01,https://www.nairaland.com/7411677/tyson-fury-banned-entering-us
"Fire At Kitchen Plaza, Yaba",Business," / , / ,  / , (27825 Views) ",Nemere2020,5:59pm,Nov 01,https://www.nairaland.com/7412392/fire-kitchen-plaza-yaba
"Ifa Priestess Suggests Cause Of Death Of Davido, Chioma’s Son",Celebrities," / , / ,  / , (79821 Views) ",Odewaleadesoye,7:50pm,Nov 01,https://www.nairaland.com/7412517/ifa-priestess-suggests-cause-death
Rapper Takeoff Last Photo Before He Was Shot Dead,Celebrities," / , / ,  / , (66557 Views) ",Fira09,12:50pm,Nov 01,https://www.nairaland.com/7411911/rapper-takeoff-last-photo-before
IGP Baba To Court: Tinubu Has No Pending Criminal Case With Police,Politics," / , / ,  / , (12741 Views) ",politicoNG,6:07pm,Nov 01,https://www.nairaland.com/7412402/igp-baba-court-tinubu-no
Proceeds From My Father's Funeral Goes To Charity — Prof. Onyebuchi (video),Events," / , / ,  / , (18520 Views) ",Metrix147,8:30am,Nov 01,https://www.nairaland.com/7411461/proceeds-fathers-funeral-goes-charity
Atiku Interviewed On Voice Of America (Picture),Politics," / , / ,  / , (23198 Views) ",Trinitycian,6:34pm,Nov 01,https://www.nairaland.com/7412425/atiku-interviewed-voice-america-picture
"Sanwo-Olu Commissions Lekki Deep Sea Port (Pictures, Video)",Politics," / , / ,  / , (40577 Views) ",Lanrelagboi,8:23pm,Nov 01,https://www.nairaland.com/7412571/sanwo-olu-commissions-lekki-deep-sea
Orji Kalu Emerges 2022 Best Senator Of The Year In Constituency Projects,Politics," / , / ,  / , (10690 Views) ",Wisdomkosi,8:44pm,Nov 01,https://www.nairaland.com/7412598/orji-kalu-emerges-2022-best
Foreign Affairs,Politics," / , / , / ,  / , (50661 Views) ",lhordspy,8:23pm,Nov 01,https://www.nairaland.com/foreign-affairs
"EFCC Arrests Kogi Candidate, Fraud Syndicate Members With ₦‎326m, $610,000",Crime," / , / ,  / , (29975 Views) ",Sundaland,7:43pm,Nov 01,https://www.nairaland.com/7412509/efcc-arrests-kogi-candidate-fraud
Ime Udoka To Be Announced Brooklyn Nets' Head Coach - Report,Sports," / , / ,  / , (16981 Views) ",fergie001,9:19pm,Nov 01,https://www.nairaland.com/7412638/ime-udoka-announced-brooklyn-nets
"Flutterwave Founder, Iyin Aboyeji, Presents Tinubu Tech Policy (Photo)",Politics," / , / ,  / , (45586 Views) ",trutharena,7:34pm,Nov 01,https://www.nairaland.com/7412495/flutterwave-founder-iyin-aboyeji-presents
"Kogi: PDP's Natasha Akpoti ""Linked"" With Notorious Terrorist, Shafiu",Crime," / , / ,  / , (28770 Views) ",Voice4kogi,7:31pm,Nov 01,https://www.nairaland.com/7412493/kogi-pdps-natasha-akpoti-linked
"Prophet, Christian Shola Vows To Bring Davido's Son, Ifeanyi Back To Life",Religion," / , / ,  / , (60141 Views) ",seunrebirth,9:44pm,Nov 01,https://www.nairaland.com/7412665/prophet-christian-shola-vows-bring
"Jalingo APC Chairman, Bashir Bakari Suspended For Allegedly Working For PDP",Politics," / , / ,  / , (10163 Views) ",Lelelalalele,9:30am,Oct 31,https://www.nairaland.com/7409802/jalingo-apc-chairman-bashir-bakari
"Can You Buy This Beautiful Design For  N6,977,600",Fashion," / , / ,  / , (57217 Views) ",obembet,7:17pm,Oct 31,https://www.nairaland.com/7410805/buy-beautiful-design-n6977600
Qatar 2022: Paul Pogba Has Been Ruled Out Of The World Cup,Sports," / , / ,  / , (20297 Views) ",chisomkachy,7:19pm,Oct 31,https://www.nairaland.com/7410806/qatar-2022-paul-pogba-been
"Burna Boy: I Can't Talk Money With You, If You Haven’t Made $100m This Year",Celebrities," / , / ,  / , (33160 Views) ",EBMedia,7:07pm,Oct 31,https://www.nairaland.com/7410797/burna-boy-cant-talk-money
Transport Crisis: LASG Is Looking Into The Demands Of The JDWAN - Sola Giwa,Travel," / , / ,  / , (15089 Views) ",naptu2,6:15pm,Oct 31,https://www.nairaland.com/7410716/transport-crisis-lasg-looking-into
Grassroot Sensitisation Of Peter Obi In Gwoza LGA  Borno State(video & Pictures),Politics," / , / ,  / , (27693 Views) ",4teenblaq,7:15pm,Oct 31,https://www.nairaland.com/7410804/grassroot-sensitisation-peter-obi-gwoza
"Allen Onyema: US Court Acquits Air Peace Boss, Fines Mayfield $4000",Travel," / , / ,  / , (30207 Views) ",Salesbay,3:29pm,Oct 31,https://www.nairaland.com/7410440/allen-onyema-us-court-acquits
Name Your Presidential Candidate And Give Us Three Reasons We Should Vote Him,Politics," / , / ,  / , (29129 Views) ",obembet,1:16pm,Oct 31,https://www.nairaland.com/7410199/name-presidential-candidate-give-us
President Buhari Declares Open Senior Police Retreat In Imo State (Photos),Politics," / , / ,  / , (21398 Views) ",LordviccoDaGuru,6:40pm,Oct 31,https://www.nairaland.com/7410757/president-buhari-declares-open-senior
President Buhari Visited Imo State (Pictures),Politics," / , / ,  / , (30970 Views) ",ryloy,6:30pm,Oct 31,https://www.nairaland.com/7410733/president-buhari-visited-imo-state
Naira Redesigning: 10 Changes Made To Nigeria’s Currency Since Independence,Politics," / , / ,  / , (35533 Views) ",dre11,7:42pm,Oct 31,https://www.nairaland.com/7410840/naira-redesigning-10-changes-made
"Group Raises Alarm As Makinde 'Lobbies' For Return Of INEC REC, Agboke",Politics," / , / ,  / , (9879 Views) ",aminulive,9:35pm,Oct 31,https://www.nairaland.com/7410970/group-raises-alarm-makinde-lobbies
Tuoyo Cries Out About A Troubling New Trend At Nigerian Nightclubs (pic/video),Romance," / , / ,  / , (58622 Views) ",Bvlgari,9:53am,Oct 31,https://www.nairaland.com/7409851/tuoyo-cries-out-troubling-new
2023: I’ll Be First Independent Governor Of Lagos – Jandor,Politics," / , / ,  / , (13081 Views) ",Curious345,6:35pm,Oct 31,https://www.nairaland.com/7410745/2023-ill-first-independent-governor
Naira Redesign: Emefiele Confirmed Arabic Inscription Won’t Be Removed – Sanusi,Politics," / , / ,  / , (38235 Views) ",oshozondii,5:52pm,Oct 31,https://www.nairaland.com/7410676/naira-redesign-emefiele-confirmed-arabic
"Wike: Dele Momodu Is Jobless, Wants To Use Me To Become Relevant",Politics," / , / ,  / , (26028 Views) ",hisexcellency34,6:40pm,Oct 31,https://www.nairaland.com/7410756/wike-dele-momodu-jobless-wants
Kukah: No One Can Force You As A Christians To Vote One Way Or The Other,Politics," / , / ,  / , (10688 Views) ",ifatimaidris45,1:22am,Oct 30,https://www.nairaland.com/7408096/kukah-no-one-force-christians
Elevated Terror Alert: Buhari summons Emergency Security Meeting On Monday,Politics," / , / ,  / , (9578 Views) ",chokekachy,8:36pm,Oct 30,https://www.nairaland.com/7409186/elevated-terror-alert-buhari-summons
NSCDC Uncovers Illegal Fuel Dump In Abuja,Crime," / , / ,  / , (18096 Views) ",TheLawAsItIs,8:12pm,Oct 30,https://www.nairaland.com/7409153/nscdc-uncovers-illegal-fuel-dump
"Peter Obi Wants To ""Speak Directly To All Nigerians""",Politics," / , / ,  / , (16820 Views) ",naptu2,5:12am,Oct 31,https://www.nairaland.com/7409503/peter-obi-wants-speak-directly
"South-East Governors Meet In Enugu, Raise Alarm Over Insecurity, Disown ESN",Politics," / , / ,  / , (13147 Views) ",DNReporters,7:53pm,Oct 30,https://www.nairaland.com/7409129/south-east-governors-meet-enugu-raise
Adebanjo Absent As Afenifere Endorses Tinubu,Politics," / , / ,  / , (21296 Views) ",wwwihy,8:46pm,Oct 30,https://www.nairaland.com/7409203/adebanjo-absent-afenifere-endorses-tinubu
"Tinubu: I Was Doubtful, Confused During Presidential Primary",Politics," / , / ,  / , (22627 Views) ",TheLawAsItIs,9:34pm,Oct 30,https://www.nairaland.com/7409265/tinubu-doubtful-confused-during-presidential
He Cooked A Colored Chicken Stew.,Food," / , / ,  / , (51001 Views) ",CaveAdullam,1:40pm,Oct 30,https://www.nairaland.com/7408693/he-cooked-colored-chicken-stew
Jitters As Wike’s Camp Pushes For PDP NEC Meeting,Politics," / , / ,  / , (31107 Views) ",dre11,9:38pm,Oct 30,https://www.nairaland.com/7409270/jitters-wikes-camp-pushes-pdp
Foreign Affairs,Politics," / , / , / ,  / , (27104 Views) ",DaddyFreeze2020,12:06am,Oct 31,https://www.nairaland.com/foreign-affairs
Ayo Adebanjo: Peter Obi Remains Afenifere's Candidate,Politics," / , / ,  / , (26401 Views) ",Trinitycian,9:51pm,Oct 30,https://www.nairaland.com/7409290/ayo-adebanjo-peter-obi-remains
Tinubu To Present Action Plan To Private Sector Leaders In Lagos,Politics," / , / ,  / , (10154 Views) ",Zydote,10:56pm,Oct 30,https://www.nairaland.com/7409346/tinubu-present-action-plan-private
"LP To Release Peter Obi's Governance Priorities ""The Pact With Nigeria""",Politics," / , / ,  / , (8089 Views) ",Gossipninja,11:28pm,Oct 30,https://www.nairaland.com/7409366/lp-release-peter-obis-governance
Air Force Expecting Delivery Of 55 Helicopters By December (see List),Politics," / , / ,  / , (20239 Views) ",Bukayosakes,5:29am,Oct 31,https://www.nairaland.com/7409512/air-force-expecting-delivery-55
Akeredolu: No Obedients In Ondo,Politics," / , / ,  / , (19595 Views) ",EcoBrick,5:09am,Oct 31,https://www.nairaland.com/7409500/akeredolu-no-obedients-ondo
"Lagos-Ibadan Expressway: Students Fundraise Ransom, Kidnapped Mates Released",Crime," / , / ,  / , (21914 Views) ",ISTP,6:03am,Oct 31,https://www.nairaland.com/7409525/lagos-ibadan-expressway-students-fundraise-ransom
"Prof. Adigun Agbaje Kidnapped, Abductors Demand ₦‎50 Million",Education," / , / ,  / , (20072 Views) ",Nemere2020,3:44pm,Oct 29,https://www.nairaland.com/7407512/prof-adigun-agbaje-kidnapped-abductors
Reactions As Peter Obi Is Spotted At A Store (Photos),Politics," / , / ,  / , (63203 Views) ",KEVIND,10:51am,Oct 29,https://www.nairaland.com/7407120/reactions-peter-obi-spotted-store
Bashir Ahmad: Peter Obi Is Complaining That We Didnt Qualify For World Cup,Politics," / , / ,  / , (22412 Views) ",ganisucks,5:10pm,Oct 29,https://www.nairaland.com/7407595/bashir-ahmad-peter-obi-complaining
Bola Tinubu To Address South-West Chambers Of Commerce On Tuesday,Politics," / , / ,  / , (13341 Views) ",naptu2,5:51am,Oct 30,https://www.nairaland.com/7408192/bola-tinubu-address-south-west-chambers
This Is My First Time To Buy A Car. So What Are The Things To Look Out For ?,Car Talk," / , / ,  / , (30684 Views) ",GLouis,1:52pm,Oct 27,https://www.nairaland.com/7404217/first-time-buy-car-what
Kenneth Ifekudu's Diamond Leeds Emerges Most Innovative Architecture Company,Politics," / , / ,  / , (4370 Views) ",AmadiAba,11:51am,Oct 27,https://www.nairaland.com/7404059/kenneth-ifekudus-diamond-leeds-emerges
I Did Not Endorse Obi For Presidency - Aniebiet Inyang Ntui (UNICAL Librarian) ,Politics," / , / ,  / , (13225 Views) ",Sapa23,5:23pm,Oct 29,https://www.nairaland.com/7407610/did-not-endorse-obi-presidency
Ayu dares Wike: Nobody Will Sack Me As PDP Chairman,Politics," / , / ,  / , (24362 Views) ",politicoNG,6:00pm,Oct 29,https://www.nairaland.com/7407649/ayu-dares-wike-nobody-sack
PHOTOS: El-rufai ‘becomes Lecturer’,Politics," / , / ,  / , (53710 Views) ",Islie,6:17pm,Oct 29,https://www.nairaland.com/7407673/photos-el-rufai-becomes-lecturer
Aisha Yesufu At Labour Party Presidential Rally In Nasarawa State (Pictures),Politics," / , / ,  / , (66426 Views) ",AcuraZDX,2:49pm,Oct 29,https://www.nairaland.com/7407444/aisha-yesufu-labour-party-presidential
Foreign Affairs,Politics," / , / , / ,  / , (49349 Views) ",HonNL,7:04pm,Oct 29,https://www.nairaland.com/foreign-affairs
My Toyota 2009 Top Gasket Got Burnt Yesterday,Car Talk," / , / ,  / , (30144 Views) ",Spray,6:53am,Oct 25,https://www.nairaland.com/7400331/toyota-2009-top-gasket-got
Malnutrition: Two Children Die In Jigawa Idp's Camp,Politics," / , / ,  / , (9786 Views) ",DamnnNiggarr,2:20pm,Oct 29,https://www.nairaland.com/7407404/malnutrition-two-children-die-jigawa
"Kidnappers Terrorise Ogun Communities, Residents Lament Ordeals",Politics," / , / ,  / , (19804 Views) ",greenermodels,10:52am,Oct 29,https://www.nairaland.com/7407122/kidnappers-terrorise-ogun-communities-residents
"Video From Peter Obi's Rally In Lafia, Nasarawa State (Pictures)",Politics," / , / ,  / , (44387 Views) ",4teenblaq,4:34pm,Oct 29,https://www.nairaland.com/7407559/video-peter-obis-rally-lafia
The Sweet Rice And Beans I’m Cooking,Food," / , / ,  / , (44296 Views) ",obagofizzy,6:34pm,Oct 28,https://www.nairaland.com/7406222/sweet-rice-beans-im-cooking
Benz Are Taxis In Germany - Portable Mocks Nigerians Bragging With Benz (Video),Celebrities," / , / ,  / , (61012 Views) ",EBMedia,4:13pm,Oct 29,https://www.nairaland.com/7407544/benz-taxis-germany-portable-mocks
,This Big Python Was Killed In Yenagoa Bayelsa State.," / ,  / , (91015 Views) ",iscom,6:11pm,Oct 28,https://www.nairaland.com/7406188/big-python-killed-yenagoa-bayelsa
"Gumi Rejects Naira Redesign, Describes It As Economic Suicide",Politics," / , / ,  / , (39682 Views) ",treesun,3:49pm,Oct 29,https://www.nairaland.com/7407519/gumi-rejects-naira-redesign-describes
See The Little Potatoe I Bought For 1K Today (pic),Food," / , / ,  / , (48398 Views) ",2saviourfriday9,10:42am,Oct 26,https://www.nairaland.com/7402357/see-little-potatoe-bought-1k
Van Diyk Loses His First Premier League Game At Anfield After 4 Years,Sports," / , / ,  / , (41100 Views) ",fergie001,9:54pm,Oct 29,https://www.nairaland.com/7407921/van-diyk-loses-first-premier
"Olayemi Oyebanji Donates Cash Gift, Other Items To Mother Of Triplets",Politics," / , / ,  / , (15800 Views) ",AngelGabbyShara,5:50pm,Oct 28,https://www.nairaland.com/7406155/olayemi-oyebanji-donates-cash-gift
"Ajon, John Akume, Thousand Others Dump APC For PDP",Politics," / , / ,  / , (18803 Views) ",COFFINSELLER,4:27pm,Oct 28,https://www.nairaland.com/7406047/ajon-john-akume-thousand-others
"2023: Fashola, Al-Akura, Ogbe Head Directorates In Tinubu/Shettima ICC",Politics," / , / ,  / , (11807 Views) ",tribalmall,5:33pm,Oct 28,https://www.nairaland.com/7406133/2023-fashola-al-akura-ogbe-head
"The Dog That Walks Like A Human (Video, Photos)",Pets," / , / ,  / , (61814 Views) ",Sunnyshinylight,4:15pm,Oct 28,https://www.nairaland.com/7406030/dog-walks-like-human-video
Lagos State Generated ₦753.5 Billion IGR In 2021 — Statisense,Politics," / , / ,  / , (8199 Views) ",Clevite,5:39pm,Oct 28,https://www.nairaland.com/7406140/lagos-state-generated-753.5-billion
Bashir El-rufai: Atiku Paid For A Waiver To Travel to USA,Politics," / , / ,  / , (33676 Views) ",ganisucks,5:42pm,Oct 28,https://www.nairaland.com/7406145/bashir-el-rufai-atiku-paid-waiver
Redesigning Of Naira Notes: We Are Not Aware - Finance Minister,Politics," / , / ,  / , (29135 Views) ",chisomkachy,7:06pm,Oct 28,https://www.nairaland.com/7406270/redesigning-naira-notes-not-aware
Caption This Picture Of Peter Obi And Baba-Ahmed Yusuf Datti,Politics," / , / ,  / , (54789 Views) ",DamnnNiggarr,1:12pm,Oct 28,https://www.nairaland.com/7405752/caption-picture-peter-obi-baba-ahmed
